DATA,CASA,TRASFERTA,GOLCS,GOLTR
16/02/2019,Hertha,Werder Bremen,1,1
16/02/2019,Hoffenheim,Hannover,3,0
16/02/2019,Schalke 04,Freiburg,0,0
16/02/2019,Stuttgart,RB Leipzig,1,3
16/02/2019,Wolfsburg,Mainz,3,0
17/02/2019,Ein Frankfurt,'M''gladbach',1,1
17/02/2019,Leverkusen,Fortuna Dusseldorf,2,0
18/02/2019,Nurnberg,Dortmund,0,0
22/02/2019,Werder Bremen,Stuttgart,1,1
23/02/2019,Bayern Munich,Hertha,1,0
23/02/2019,Fortuna Dusseldorf,Nurnberg,2,1
23/02/2019,Freiburg,Augsburg,5,1
23/02/2019,Mainz,Schalke 04,3,0
23/02/2019,'M''gladbach',Wolfsburg,0,3
24/02/2019,Dortmund,Leverkusen,3,2
24/02/2019,Hannover,Ein Frankfurt,0,3
25/02/2019,RB Leipzig,Hoffenheim,1,1
01/03/2019,Augsburg,Dortmund,2,1
02/03/2019,Ein Frankfurt,Hoffenheim,3,2
02/03/2019,Hertha,Mainz,2,1
02/03/2019,Leverkusen,Freiburg,2,0
02/03/2019,'M''gladbach',Bayern Munich,1,5
02/03/2019,Nurnberg,RB Leipzig,0,1
02/03/2019,Schalke 04,Fortuna Dusseldorf,0,4
03/03/2019,Stuttgart,Hannover,5,1
03/03/2019,Wolfsburg,Werder Bremen,1,1
08/03/2019,Werder Bremen,Schalke 04,4,2
09/03/2019,Bayern Munich,Wolfsburg,6,0
09/03/2019,Dortmund,Stuttgart,3,1
09/03/2019,Freiburg,Hertha,2,1
09/03/2019,Mainz,'M''gladbach',0,1
09/03/2019,RB Leipzig,Augsburg,0,0
10/03/2019,Hannover,Leverkusen,2,3
10/03/2019,Hoffenheim,Nurnberg,2,1
11/03/2019,Fortuna Dusseldorf,Ein Frankfurt,0,3
15/03/2019,'M''gladbach',Freiburg,1,1
16/03/2019,Augsburg,Hannover,3,1
16/03/2019,Hertha,Dortmund,2,3
16/03/2019,Schalke 04,RB Leipzig,0,1
16/03/2019,Stuttgart,Hoffenheim,1,1
16/03/2019,Wolfsburg,Fortuna Dusseldorf,5,2
17/03/2019,Bayern Munich,Mainz,6,0
17/03/2019,Ein Frankfurt,Nurnberg,1,0
17/03/2019,Leverkusen,Werder Bremen,1,3
29/03/2019,Hoffenheim,Leverkusen,4,1
30/03/2019,Dortmund,Wolfsburg,2,0
30/03/2019,Fortuna Dusseldorf,'M''gladbach',3,1
30/03/2019,Freiburg,Bayern Munich,1,1
30/03/2019,Nurnberg,Augsburg,3,0
30/03/2019,RB Leipzig,Hertha,5,0
30/03/2019,Werder Bremen,Mainz,3,1
31/03/2019,Ein Frankfurt,Stuttgart,3,0
31/03/2019,Hannover,Schalke 04,0,1
05/04/2019,Mainz,Freiburg,5,0
06/04/2019,Bayern Munich,Dortmund,5,0
06/04/2019,Hertha,Fortuna Dusseldorf,1,2
06/04/2019,Leverkusen,RB Leipzig,2,4
06/04/2019,Schalke 04,Ein Frankfurt,1,2
06/04/2019,Stuttgart,Nurnberg,1,1
06/04/2019,Wolfsburg,Hannover,3,1
07/04/2019,Augsburg,Hoffenheim,0,4
07/04/2019,'M''gladbach',Werder Bremen,1,1
12/04/2019,Nurnberg,Schalke 04,1,1
13/04/2019,Hannover,'M''gladbach',0,1
13/04/2019,RB Leipzig,Wolfsburg,2,0
13/04/2019,Stuttgart,Leverkusen,0,1
13/04/2019,Werder Bremen,Freiburg,2,1
13/04/2019,Dortmund,Mainz,2,1
13/04/2019,Hoffenheim,Hertha,2,0
14/04/2019,Fortuna Dusseldorf,Bayern Munich,1,4
14/04/2019,Ein Frankfurt,Augsburg,1,3
