DATA,CASA,TRASFERTA,GOLCS,GOLTR
17/02/2019,St Etienne,Paris SG,0,1
20/02/2019,Bordeaux,Guingamp,0,0
20/02/2019,Paris SG,Montpellier,5,1
22/02/2019,Dijon,St Etienne,0,1
22/02/2019,Strasbourg,Lille,1,1
23/02/2019,Amiens,Nice,1,0
23/02/2019,Guingamp,Angers,1,0
23/02/2019,Paris SG,Nimes,3,0
24/02/2019,Monaco,Lyon,2,0
24/02/2019,Montpellier,Reims,2,4
24/02/2019,Nantes,Bordeaux,1,0
24/02/2019,Rennes,Marseille,1,1
24/02/2019,Toulouse,Caen,1,1
02/03/2019,Angers,Monaco,2,2
02/03/2019,Caen,Paris SG,1,2
02/03/2019,Reims,Amiens,2,2
03/03/2019,Guingamp,Nantes,0,0
03/03/2019,Lille,Dijon,1,0
03/03/2019,Lyon,Toulouse,5,1
03/03/2019,Marseille,St Etienne,2,0
03/03/2019,Nice,Strasbourg,1,0
05/03/2019,Bordeaux,Montpellier,1,2
09/03/2019,Amiens,Nimes,2,1
09/03/2019,Dijon,Reims,1,1
09/03/2019,Monaco,Bordeaux,1,1
09/03/2019,Strasbourg,Lyon,2,2
10/03/2019,Marseille,Nice,1,0
10/03/2019,Montpellier,Angers,2,2
10/03/2019,Rennes,Caen,3,1
10/03/2019,St Etienne,Lille,0,1
10/03/2019,Toulouse,Guingamp,1,0
12/03/2019,Dijon,Paris SG,0,4
15/03/2019,Lille,Monaco,0,1
15/03/2019,Nice,Toulouse,1,1
16/03/2019,Angers,Amiens,0,0
16/03/2019,Caen,St Etienne,0,5
16/03/2019,Guingamp,Dijon,1,0
16/03/2019,Nimes,Strasbourg,2,2
17/03/2019,Bordeaux,Rennes,1,1
17/03/2019,Lyon,Montpellier,3,2
17/03/2019,Paris SG,Marseille,3,1
17/03/2019,Reims,Nantes,1,0
29/03/2019,Rennes,Lyon,0,1
30/03/2019,Marseille,Angers,2,2
31/03/2019,Amiens,Bordeaux,0,0
31/03/2019,Dijon,Nice,0,1
31/03/2019,Monaco,Caen,0,1
31/03/2019,Nantes,Lille,2,3
31/03/2019,Toulouse,Paris SG,0,1
01/04/2019,St Etienne,Nimes,2,1
03/04/2019,Montpellier,Guingamp,2,0
03/04/2019,Strasbourg,Reims,4,0
05/04/2019,Bordeaux,Marseille,2,0
06/04/2019,Amiens,St Etienne,2,2
06/04/2019,Angers,Rennes,3,3
06/04/2019,Guingamp,Monaco,1,1
06/04/2019,Lyon,Dijon,1,3
06/04/2019,Nimes,Caen,2,0
07/04/2019,Nice,Montpellier,1,0
07/04/2019,Paris SG,Strasbourg,2,2
07/04/2019,Reims,Lille,1,1
07/04/2019,Toulouse,Nantes,1,0
